ayah	status	sha256	reviewer	date	note
1	verified	f4f3d96b3ad0582e0210359c6b97616ae5f52c934d6b5a195dab4a332b46edb8	AI (double) + owner sample	2026-09-25	ADR 0006
2	verified	3f490cbe56130180c0b29e5d0825eadf72332af9e45defe9b1620b358ef03cc2	AI (double) + owner sample	2026-09-25	ADR 0006
3	verified	f79e25f1ffd1827a3badd86a907be1fb308271092478650574d9b2b84866a7e8	AI (double) + owner sample	2026-09-25	ADR 0006
4	verified	8b9509f4739a4fca98d1d4ed2a7158c31ba114d44c46ce0b8bc4bdcb2bac569e	AI (double) + owner sample	2026-09-25	ADR 0006
5	verified	68447cac73c5ae4b08402976e15f4a52b14301db4e7dc5f7323d493fa6a02867	AI (double) + owner sample	2026-09-25	ADR 0006
6	verified	fdbbd806aae8f69f1f7138256af88815757d9070942f911f38c0594d61c21582	AI (double) + owner sample	2026-09-25	ADR 0006
7	verified	0e2a2d0fd6cba87796f93ee1fa8f3f2b326d70a7f23b96c5df0b745867f344b5	AI (double) + owner sample	2026-09-25	ADR 0006
8	verified	e9c05f781f4047f5154d1c4fc3a663a95fa367177d507e3d3b22e923827860ea	AI (double) + owner sample	2026-09-25	ADR 0006
9	verified	97d0e0cf6daac255c45b1081ac58ab5896166164819fcebcb88bfaa9bec60826	AI (double) + owner sample	2026-09-25	ADR 0006
10	verified	b70042e3568dd8b25e518efb6e5f4ba2957ad9aabaae8b8ba470c589a24c226b	AI (double) + owner sample	2026-09-25	ADR 0006
11	verified	f236e57d4244dc6679b7e6788ebd9ed00cf983b07ed54fce8289b79f8d79116f	AI (double) + owner sample	2026-09-25	ADR 0006
12	verified	8294a47039028a02623f5f7b5d1837f4c775dada054dc9e8ee96b6f14e1abd5e	AI (double) + owner sample	2026-09-25	ADR 0006
13	verified	6d76fadbd729f48a0707e77b5c77c1b766826d1b5a6873e5de6621029e533f88	AI (double) + owner sample	2026-09-25	ADR 0006
14	verified	033efac58f7c837facb37983e60bd17df84891323b9dec593d2f9530b3a92c41	AI (double) + owner sample	2026-09-25	ADR 0006
15	pending				
16	verified	73d6defaced40612f7126d75dd55557905ad3daaf37b4677410c1fdfafb6ebee	AI (double) + owner sample	2026-09-25	ADR 0006
17	verified	ee804a1ed23bebc4387a0607e14923613ec4867437d675710fb9bf07a5f1b991	AI (double) + owner sample	2026-09-25	ADR 0006
18	verified	a974a78305fe569db64627b6c9ffea18706205adf6c1f005e16635a3c76c8910	AI (double) + owner sample	2026-09-25	ADR 0006
19	verified	c494aa9fe0dff2675c34cc06a3b49f1e602648ea506cb7ffdb578c92ede63c5b	AI (double) + owner sample	2026-09-25	ADR 0006
20	verified	9ccf6bc506fe47d0b6ecba62017b61f7ccbd9ce783a13584e6a7c6db12dee1d1	AI (double) + owner sample	2026-09-25	ADR 0006
21	verified	964e701a179e74e813587d8209c6a861310f159355a233407e3e77cb3142d189	AI (double) + owner sample	2026-09-25	ADR 0006
22	verified	ca064cd7bf74ccc0196cb7249e59c04ab9be30c31bd22b5f0bd02a3a19aa9385	AI (double) + owner sample	2026-09-25	ADR 0006
23	verified	b3ae97dd47afebbf9b80f3bea03a618592e37f75d991bc3baa1def253aca565f	AI (double) + owner sample	2026-09-25	ADR 0006
24	verified	ae0864c94421a0f183f5a0b8bdaf49bb65bfc1d1373ec7a3d854edd38427bdf7	AI (double) + owner sample	2026-09-25	ADR 0006
25	verified	fb45eb6dacde510ba9bcb007b373bf8fbb84f5814acd2382c53f395315674808	AI (double) + owner sample	2026-09-25	ADR 0006
26	verified	f2ca1f69aafe9cd63e23f683ffc90d628993c2d34bc5242146a88c200765af49	AI (double) + owner sample	2026-09-25	ADR 0006
27	verified	36d00aab7f5df50d4be7b121769b1aac81b1aa6709923c4813310331645a78ef	AI (double) + owner sample	2026-09-25	ADR 0006
28	verified	871b08784ce8534a993aef5483a50337d076796bca67913692bc6d3bfb857a2d	AI (double) + owner sample	2026-09-25	ADR 0006
29	verified	361f48d627008fe070e51b8f92f470c7b2ad55d70dbb8cde4bda5c9c9867a000	AI (double) + owner sample	2026-09-25	ADR 0006
30	verified	b5814af9f8df46dc9238eed641b68836727cb62d3adc9a80a814348274b34b60	AI (double) + owner sample	2026-09-25	ADR 0006
31	verified	67712b3e90db171d2e971a8fe86f2c324fe4ea0c96efae43fc881e7dde469423	AI (double) + owner sample	2026-09-25	ADR 0006
32	verified	5aaff3a9a1768a40a58c83ae0ed363b8d584728c63fc847fd747cb32823dd2a5	AI (double) + owner sample	2026-09-25	ADR 0006
33	verified	be6c9c317337b96c1efcf588b46227ba8f44f424a521e4315663ecdbd6be6055	AI (double) + owner sample	2026-09-25	ADR 0006
34	verified	cfbe499ead60515945b6a410e2a2394f543ec98303e20a08d0e6c026430deca5	AI (double) + owner sample	2026-09-25	ADR 0006
35	verified	1dd6a41e639759887f956fa7eace2b84aea8239eb5968288993b00862a557d07	AI (double) + owner sample	2026-09-25	ADR 0006
36	verified	7ac43bf1b2e7e3b7dadb07db9d96abf1b9f8ad27d8dae79cf3a91619fce0424c	AI (double) + owner sample	2026-09-25	ADR 0006
37	verified	cfe5bf97330bd965260a7ea2de41d1cd384df476786646888f39cc582afd5fc8	AI (double) + owner sample	2026-09-25	ADR 0006
38	verified	f2c51c3a5a221a8610767d65d1edb33b29746599925d4acbc9cc8fc304815f59	AI (double) + owner sample	2026-09-25	ADR 0006
39	verified	3850e96b45b195dcd8e5d17785e24dce559988fc9ad0d19629be9f50e099b16a	AI (double) + owner sample	2026-09-25	ADR 0006
40	verified	aa8dafb1c242b49c77bc6b8f8ddb4af04a74bcb3222066d3adaee53bf24e765e	AI (double) + owner sample	2026-09-25	ADR 0006
41	verified	1747de4729d57b5861a05da200f01cce124b57ecdd61eed6cb156c2cf5adc281	AI (double) + owner sample	2026-09-25	ADR 0006
